initial_altitude_m,initial_offset_m,initial_vz_mps,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count
300.0,0.0,-34.1518959942197,True,37.43999999999956,0.0,-0.4118833480344549,0.0,-0.4118833480344549,-0.25114935191530086,-0.8247547739244226,0.8621464110454796,3366.4488771152755,3633.5511228847245,1.8735964734044261,2.195810465852389,3.41,0.6670752701070313,0
300.0,10.0,-34.1518959942197,True,37.43999999999956,0.0,-0.16582286123627327,0.0,-0.16582286123627327,0.007104498533833506,-0.8247589063019153,0.8247895049185269,3366.2295653125148,3633.7704346874852,0.9828542670672555,0.6645334624904257,1.2398569630915632,0.6670935079829252,0
300.0,20.0,-34.1518959942197,True,37.43999999999956,0.0,2.6610276158906965,0.0,2.6610276158906965,0.418376376839534,-0.8247962860282685,0.9248392866565526,3366.3294392067655,3633.6705607932345,1.0746307526576062,2.460573576806829,4.16513330324719,0.6669938482327544,0
300.0,30.0,-34.1518959942197,False,37.43999999999956,0.0,7.7895055209185955,0.0,7.7895055209185955,0.8562812325044288,-0.8249567537427158,1.1890211077541994,3367.255808710215,3632.744191289785,3.0281095247515326,3.9295334015603585,4.29,0.6669903045393976,0
300.0,40.0,-34.1518959942197,False,37.43999999999956,0.0,-8.051341192502688,0.0,-8.051341192502688,3.4752184236166914,-0.824884438985577,3.571775109035482,3368.120261068012,3631.879738931988,4.204700489621145,4.163868877260128,4.29,0.6670104658100849,0
300.0,50.0,-34.1518959942197,False,37.43999999999956,0.0,-45.9682128299112,0.0,-45.9682128299112,2.8098076384928206,-0.824957462214947,2.9284080623773603,3368.518183074517,3631.481816925483,4.420847525137374,4.163868877260128,4.29,0.66741753493331,0
450.0,0.0,-41.82735946721954,True,41.03999999999948,0.0,0.7425335443168606,0.0,0.7425335443168606,0.0010560854069843971,-0.7938255521666172,0.7938262546609438,3696.6247942656046,3303.3752057343954,1.8770064080338167,2.4568086349567273,3.41,0.6904256670674875,0
450.0,10.0,-41.82735946721954,True,40.95999999999948,0.0,-0.8745533343859168,0.0,-0.8745533343859168,0.11418724219757562,-0.7922841880814855,0.8004704622686751,3690.446902836491,3309.553097163509,1.2642636360790094,1.5940618881804423,2.990269297892796,0.6904117122933089,0
450.0,20.0,-41.82735946721954,True,40.95999999999948,0.0,0.7444830422013429,0.0,0.7444830422013429,0.03752115850716612,-0.792281522557231,0.7931694953295444,3690.3768884345336,3309.6231115654664,0.8984271452823369,2.1040063309530663,3.7367480489355467,0.6905079374885593,0
450.0,30.0,-41.82735946721954,True,40.95999999999948,0.0,1.695058072612129,0.0,1.695058072612129,-0.036917432080704575,-0.7922816593397536,0.7931413017348087,3690.952631325217,3309.047368674783,2.7245966993534982,3.8813351623228165,4.29,0.6904314380940083,0
450.0,40.0,-41.82735946721954,False,41.03999999999948,0.0,4.961892135852703,0.0,4.961892135852703,-0.13541759827751565,-0.7938308669215088,0.8052983119320473,3697.9647084600692,3302.0352915399308,4.501419178518249,4.163868877260128,4.29,0.6911326075570786,0
450.0,50.0,-41.82735946721954,False,40.95999999999948,0.0,11.035135385267473,0.0,11.035135385267473,0.7631929449939396,-0.7924969490888932,1.1002340140187115,3692.9080552316445,3307.0919447683555,5.141759112329414,4.163868877260128,4.29,0.6905896884977397,0
600.0,0.0,-48.29807449578088,True,43.679999999999424,0.0,-0.041356765826991534,0.0,-0.041356765826991534,0.0963971091555836,-0.7702448222685431,0.7762534952482038,3940.424693573652,3059.575306426348,1.8726926233681667,2.617993103286893,3.41,0.6428545698321471,0
600.0,10.0,-48.29807449578088,True,43.679999999999424,0.0,-0.6988224864956902,0.0,-0.6988224864956902,0.12846924146372485,-0.77024584922294,0.7808860443415755,3940.265874955996,3059.734125044004,1.2585920349837634,1.9166977371441984,3.41,0.6428451017389086,0
600.0,20.0,-48.29807449578088,True,43.679999999999424,0.0,0.5119229637194957,0.0,0.5119229637194957,-0.018922247323543726,-0.7702390529822364,0.7704714467017877,3940.1591525341246,3059.8408474658754,0.8,1.5888036281261626,2.9029194725776595,0.642889639927212,0
600.0,30.0,-48.29807449578088,True,43.679999999999424,0.0,-2.100343766884964,0.0,-2.100343766884964,-0.292174696427829,-0.7702415432469556,0.8237949308997633,3940.8853651276513,3059.1146348723487,2.777744476830717,3.8813351623228165,4.29,0.6433011289766036,0
600.0,40.0,-48.29807449578088,True,43.679999999999424,0.0,-2.493046180819148,0.0,-2.493046180819148,-0.5472135401722149,-0.7702524122193543,0.9448446629354172,3942.1921408431044,3057.8078591568956,4.307827594981209,4.219927154033405,4.29,0.6441383086266281,0
600.0,50.0,-48.29807449578088,True,43.91999999999942,0.0,2.7873633725726767,0.0,2.7873633725726767,-0.6473467740759049,-0.7622770210150015,1.0000620494119281,3960.712792273589,3039.287207726411,5.040081234985105,4.219927154033405,4.29,0.6571031034590216,0
750.0,0.0,-53.998888877457475,True,45.83999999999938,0.0,0.34238506207038905,0.0,0.34238506207038905,0.08981874826461737,-0.8038313324575517,0.8088338633986003,4139.182635633937,2860.817364366063,1.8776616587350214,2.7961738248510386,3.41,0.6307252140638786,0
750.0,10.0,-53.998888877457475,True,45.83999999999938,0.0,0.03619164738027056,0.0,0.03619164738027056,0.12447481627844516,-0.8038321327897957,0.8134126121427824,4139.011764379506,2860.9882356204944,1.264622154207462,2.1310544488762693,3.41,0.6307351992811241,0
750.0,20.0,-53.998888877457475,True,45.83999999999938,0.0,0.24096502858497834,0.0,0.24096502858497834,0.026860631481328466,-0.8038276925563487,0.8042763535278403,4138.882014590181,2861.117985409819,0.8,0.787490233522996,1.4334515279682833,0.630756001820241,0
750.0,30.0,-53.998888877457475,True,45.83999999999938,0.0,-2.460151182838864,0.0,-2.460151182838864,-0.058021709442510366,-0.8038296408478002,0.8059209702397218,4139.426592222924,2860.5734077770758,2.471267491547723,3.7662909123647967,4.29,0.6307705293641083,0
750.0,40.0,-53.998888877457475,False,45.43999999999939,0.0,-4.669481706537378,0.0,-4.669481706537378,-0.22007216858285475,-0.8059780381798043,0.8354833076806062,4111.203447165783,2888.7965528342174,4.491997665156767,4.219927154033405,4.29,0.6301585142361158,0
750.0,50.0,-53.998888877457475,False,45.919999999999376,0.0,-4.729701317759781,0.0,-4.729701317759781,-0.6086126089050766,-0.7617734430437342,0.9750426073997737,4148.324884723956,2851.6751152760444,5.21439871725134,4.219927154033405,4.29,0.7112442530771296,0
900.0,0.0,-58.0,True,47.67999999999934,0.0,0.5976852330829672,0.0,0.5976852330829672,0.04851982504960871,-0.7948705731613843,0.7963500496017767,4299.704807809503,2700.295192190497,1.8723827756966815,3.085163846974547,3.41,0.6980871392981971,0
900.0,10.0,-58.0,True,46.959999999999354,0.0,0.411508985490949,0.0,0.411508985490949,0.0508132978290019,-0.8269152018503043,0.828474949704207,4246.35917798091,2753.6408220190897,1.2496580702741213,2.825294924554184,3.41,0.7132981571734588,0
900.0,20.0,-58.0,True,46.959999999999354,0.0,0.09410208268094578,0.0,0.09410208268094578,0.0387874688508616,-0.826914935961195,0.8278241232626432,4246.243488810946,2753.7565111890544,0.8,1.6656949419936447,3.41,0.7133168871133667,0
900.0,30.0,-58.0,True,47.67999999999934,0.0,-1.2929014328831228,0.0,-1.2929014328831228,0.0764370910740891,-0.7948713633405464,0.7985381100177547,4299.733981147267,2700.2660188527334,1.996143626789286,3.8813351623228165,4.29,0.6981464670306805,0
900.0,40.0,-58.0,True,46.23999999999937,0.0,-2.787083544751306,0.0,-2.787083544751306,0.08922219535021372,-0.43077577970781133,0.43991859761322266,4197.6769809931975,2802.3230190068025,4.068654596456786,4.25107064112967,4.29,0.66111260976885,0
900.0,50.0,-58.0,False,47.51999999999934,0.0,-4.368751431596129,0.0,-4.368751431596129,-0.09397700391749772,-0.8052838902562439,0.8107489260995291,4290.436324042588,2709.5636759574118,5.3130849761262775,4.25107064112967,4.29,0.7091665119616258,0
