case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_m,target_x_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,max_abs_commanded_gimbal_deg,max_abs_throttle_tracking_error,navigation_rejection_count,failure_mode,guidance_mode,navigation_mode,actuator_mode
99,0.9754445706301351,0.9748491543301182,0.9818262633249084,0.85157530589482,-6.2176689540600165,8.951542406277332,-1.9490555336642035,-53.978836639901566,0.2939121687507434,True,23.359999999999854,0.0,0.32351122426422674,0.0,0.32351122426422674,-0.11039238093204035,-2.2348301661338468,2.23755499356545,2383.1598379794887,4440.784242331338,1.827353074924446,3.3162443795110277,3.3162443795110277,0.0,0,success,baseline,truth,ideal
100,1.003265832899321,0.9839935046571104,1.1894950629995598,0.9518266541773199,-11.979501289526677,20.54566830083298,-2.9457096469500157,-60.47859546099564,1.0194876103297446,True,23.03999999999986,0.0,1.7081185299944441,0.0,1.7081185299944441,-0.24825180012906692,-2.315681668153437,2.328950524268218,2410.26465146388,4477.689881135895,2.055782339627388,0.4899705071294743,0.4899705071294743,0.0,0,success,baseline,truth,ideal
101,1.0248509459945905,1.0284115577525774,1.135788672832551,1.0728788144682093,14.358843995584945,25.1027745116564,-1.3325513028290983,-62.21119649289687,1.1932438234327525,False,22.879999999999864,0.0,5.1552229938964445,0.0,5.1552229938964445,-0.3000632633935856,-2.5416605848302325,2.559311722029571,2437.433180491349,4761.447723776695,1.1932438234327525,0.9301854624155353,0.9301854624155353,0.0,0,vertical_speed,baseline,truth,ideal
102,1.0215602450706505,0.943606877501908,0.9605917756410822,1.1268495043783595,-11.1662099617965,9.590509760457426,-2.686257543164337,-62.04415207119134,1.9432612996117824,False,22.719999999999867,0.0,0.25674707138729325,0.0,0.25674707138729325,-0.13637198113160706,-2.595684252154484,2.5992641370435097,2368.6707988513845,4236.577343661971,2.403787671102572,0.28673962139077036,0.28673962139077036,0.0,0,vertical_speed,baseline,truth,ideal
103,0.9849076170720598,1.039829530831541,0.9255888929094023,0.9522178844961904,-10.386533361223051,29.79023913415382,-4.2982908678707865,-56.16621219817871,0.1356278630541302,True,23.359999999999854,0.0,2.586529625040614,0.0,2.586529625040614,-0.36902719558755015,-2.374425082900092,2.4029306160162682,2443.5224004168194,4835.284315403969,3.2719005606065803,2.922043319697996,2.922043319697996,0.0,0,success,baseline,truth,ideal
104,0.9957992403715621,1.022911968884175,1.0934656342563855,0.9841560586058671,12.099782813036612,25.300032638208,-3.402198430685984,-60.51273151810831,1.592735835784823,False,23.199999999999857,0.0,3.905225013639809,0.0,3.905225013639809,-0.33555251238257944,-2.3389359043049596,2.3628831230116143,2450.5480866138278,4709.835695575395,2.0022710414686333,0.2533563756898054,0.2533563756898054,0.0,0,pad_miss,baseline,truth,ideal
105,1.0092606888658826,0.9772934117976263,1.193261229907147,0.9482642734658506,10.04316751010552,13.579374365816626,-4.996132765657851,-56.360506011184015,0.5152551960824125,True,22.959999999999862,0.0,0.9474374576784633,0.0,0.9474374576784633,-0.3494256480974154,-2.3992823664054015,2.4245936066261087,2366.789102126848,4474.264780456535,4.9382704347662605,4.128384664662013,4.128384664662013,0.0,0,success,baseline,truth,ideal
106,0.981997437291395,0.9978611927790719,1.1228364457520583,0.8843095666708122,-6.063076525398664,36.051812490782204,-2.5628992342883663,-57.89841578827725,0.5921560740447813,False,23.279999999999855,0.0,4.9323018619107835,0.0,4.9323018619107835,-0.42498491227461127,-2.337254208181834,2.375577700123646,2420.7116563676173,4564.316693085886,0.8418854521848361,0.33795358925900537,0.33795358925900537,0.0,0,pad_miss,baseline,truth,ideal
107,0.9871704717985874,1.0245415479129263,1.0691090299311867,1.0524532400479083,-4.289447044241452,17.00753049256909,-0.6173782087934938,-58.27939004532823,-0.06304541849695224,True,23.359999999999854,0.0,2.448567002657084,0.0,2.448567002657084,-0.19650875101110268,-2.231740107214024,2.240374878312022,2447.169549817907,4724.621285572579,0.6423668683358096,0.5302837836464913,0.5302837836464913,0.0,0,success,baseline,truth,ideal
108,0.9995326072021369,1.0381150277161804,0.9653199119288495,1.1440669527702672,9.919550740827916,26.44970581591204,-2.4321734592049635,-57.151343942976894,0.864120754573459,False,23.11999999999986,0.0,4.281031310689825,0.0,4.281031310689825,-0.3481235597934549,-2.63574218339344,2.658632518834238,2424.0054056904264,4842.799788322838,0.9196814391343291,0.14271532844612086,0.14271532844612086,0.0,0,vertical_speed,baseline,truth,ideal
109,1.0091278786022313,0.9701589712199706,0.9204828127265702,1.090255256399792,1.7700801990669923,24.555606937832614,-3.4147647571270827,-61.19308321589236,0.3482154162292407,True,22.879999999999864,0.0,2.9660016682385475,0.0,2.9660016682385475,-0.3752318878566137,-2.461964438515395,2.49039512250142,2395.708623137234,4395.40417540256,2.247060523747514,0.9008904045643444,0.9008904045643444,0.0,0,success,baseline,truth,ideal
110,1.0003446210233307,0.9717310085539714,1.124148320241296,1.124154142871534,1.9747742064762797,42.063923599790414,-2.361492084366798,-55.16695930720748,-0.06858337648635256,False,23.03999999999986,0.0,6.372792111281986,0.0,6.372792111281986,-0.5079692299811575,-2.3859232647764803,2.4393979921302935,2356.6729388140375,4445.444121063763,0.9711718128280623,1.1028901133440114,1.1028901133440114,0.0,0,pad_miss,baseline,truth,ideal
111,0.978912068253467,1.004765257398465,1.1525164889095227,1.003613644919791,11.634136521518684,10.362122573144514,-3.013689057851132,-58.78016317264134,1.1738039591707419,True,23.279999999999855,0.0,1.3008919573645799,0.0,1.3008919573645799,-0.1512422603726514,-2.371278928607796,2.3760972157262352,2429.1359442968715,4604.2208574923825,2.7014601017070152,1.3515949921103494,1.3515949921103494,0.0,0,success,baseline,truth,ideal
112,0.9795296604156114,1.0244184749967686,0.93376396430921,1.0723281565962108,9.842310029502215,7.856874100484147,-2.0460556781947616,-58.38692043078307,-0.024701160446723595,True,23.359999999999854,0.0,0.8217041235758313,0.0,0.8217041235758313,-0.12939230094575818,-2.3397587277422103,2.343333794317379,2448.7864129490263,4722.142912028354,1.8474751914132659,1.3946629146849958,1.3946629146849958,0.0,0,success,baseline,truth,ideal
113,1.0230598347443722,0.9730662871520922,1.1778772975678913,0.9772930967817136,-13.246751875018887,21.03325932977285,-3.9467914184530546,-61.29551178643823,2.1756027001740974,True,22.799999999999866,0.0,1.5327644738909474,0.0,1.5327644738909474,-0.2811796689772697,-2.4739404006221717,2.489868091300573,2388.8158536806695,4422.648156383977,3.0424190950500725,0.3935397783092046,0.3935397783092046,0.0,0,success,baseline,truth,ideal
114,0.9937254416285882,1.0192334145226345,1.0506873955551455,0.9793847016926914,17.33252926224195,18.891249878270916,0.124817842216566,-56.39489608026134,0.33635446686498954,False,23.279999999999855,0.0,4.581192392161002,0.0,4.581192392161002,-0.22889939445546562,-2.2613516929138786,2.2729070398559075,2421.2654788700056,4713.368422788437,1.8916064625337794,2.1263965526982336,2.1263965526982336,0.0,0,pad_miss,baseline,truth,ideal
115,1.019846456534837,0.9825480026150154,1.1710693009755127,0.9065097904756243,14.044533341203906,16.959951621949262,-2.6985473083419067,-58.19547238109845,1.6939498891742235,False,22.879999999999864,0.0,3.094722668325519,0.0,3.094722668325519,-0.270573135952578,-2.4972239935663305,2.5118394646040945,2377.0511381650067,4500.784880140101,1.9942990891178765,0.4917037482566198,0.4917037482566198,0.0,0,pad_miss,baseline,truth,ideal
116,1.0133504323741958,0.9708061231528654,1.0439767912054925,1.0553692786737587,-6.600135460571284,21.86098326879542,-3.5632689702746054,-63.218527683648695,2.278371060602525,True,22.879999999999864,0.0,2.389067560903439,0.0,2.389067560903439,-0.27340832621705224,-2.37613213608098,2.391810201701124,2411.4395502990774,4384.20331177098,2.473863393550969,0.2555917367937275,0.2555917367937275,0.0,0,success,baseline,truth,ideal
117,1.0250434737833414,0.9763182015796399,0.9764998749582671,1.0792834274263314,-5.218014100508064,25.305293820382005,-3.311807923888045,-62.44385867757325,0.8554283941971321,True,22.799999999999866,0.0,2.888498825785846,0.0,2.888498825785846,-0.342915493909181,-2.396915675554792,2.421321083971158,2403.158740845978,4431.068670211502,1.9756839347409934,0.40481625055784115,0.40481625055784115,0.0,0,success,baseline,truth,ideal
118,0.9832859832250856,0.970601483645381,1.1903620071416015,1.1364568942492395,-11.392624182698547,16.93435665785749,-2.055779830647892,-58.72319803634071,0.9622856141365698,True,23.199999999999857,0.0,1.3650951983748174,0.0,1.3650951983748174,-0.17330304319716122,-2.3679797300725913,2.3743129420563034,2395.3219434241364,4398.888442093532,1.3099628998587904,0.22089190684237675,0.22089190684237675,0.0,0,success,baseline,truth,ideal
119,0.9982513412280586,0.9403293170181078,1.000851821782855,1.1144742030739343,12.945290920891281,16.41483332625808,-1.183179746264007,-60.67606394896414,0.013696460352420817,False,22.959999999999862,0.0,3.220220192177552,0.0,3.220220192177552,-0.2384774084035665,-2.395155688514043,2.4069985971205012,2374.574429847402,4207.730789279354,0.05165371343731509,0.005836907028947274,0.005836907028947274,0.0,0,pad_miss,baseline,truth,ideal
120,1.0062514443896189,0.9580317691947459,1.1830640249297013,1.129280911264926,-13.915125683275313,16.474909434119485,-2.561276695951797,-55.39264987446535,1.7684515957270843,True,22.959999999999862,0.0,0.9351898342058221,0.0,0.9351898342058221,-0.1763181767978673,-2.406260887004171,2.4127120747812874,2340.404737011977,4365.817647351243,2.1163014253732952,1.3331834665475832,1.3331834665475832,0.0,0,success,baseline,truth,ideal
121,0.9734554144723407,0.9928169116131422,1.1486854214736837,1.1283068976150392,-0.8858336975747712,20.443130929008202,-1.8645411858786742,-58.03151762463147,0.2794700904343767,True,23.439999999999852,0.0,2.657073675384285,0.0,2.657073675384285,-0.24773845500765243,-2.2230219620124965,2.236783625136653,2427.146596165763,4522.571785126234,0.7656894637864212,0.24341539154270225,0.24341539154270225,0.0,0,success,baseline,truth,ideal
122,0.9978702330396629,0.9763933669397619,0.9764037985881219,0.9049234183687804,-12.032814208175893,25.991781531285206,-3.9479898630735484,-64.12195018020212,1.14368160540353,True,23.03999999999986,0.0,2.400873404247599,0.0,2.400873404247599,-0.34401185032575854,-2.26835134776842,2.2942889944571845,2439.578577904693,4395.17499067364,2.717383419116722,0.42451657629383227,0.42451657629383227,0.0,0,success,baseline,truth,ideal
123,1.0026251729799456,0.9532781203710562,0.9248352576764006,1.0062634056348203,-8.385586176768914,11.71853177968103,-1.6653505597057285,-58.82389911562684,0.3906102189802161,False,22.879999999999864,0.0,0.9753421257344804,0.0,0.9753421257344804,-0.14717905087080047,-2.615414095589913,2.6195519778056764,2364.552565839913,4308.394276757481,1.1938967395050086,0.5092227435100544,0.5092227435100544,0.0,0,vertical_speed,baseline,truth,ideal
124,0.9989490233287752,1.0147632032562548,1.1368092650279646,1.149539339901256,15.370296073869802,24.102023224203975,-3.1564660891260115,-57.58077038737117,2.0380301064384514,False,23.11999999999986,0.0,4.451841700792629,0.0,4.451841700792629,-0.32210019728619665,-2.4080635755815,2.429509975516496,2409.1240208535964,4694.218401940187,2.183679500874302,0.3938474306387201,0.3938474306387201,0.0,0,pad_miss,baseline,truth,ideal
125,1.015590246267611,0.9846624590668819,1.176385506602286,0.9133454038586393,2.124642124482353,6.68543599703812,-2.745165355336716,-58.32173906321025,2.2666039731538135,False,22.879999999999864,0.0,0.5928532415917436,0.0,0.5928532415917436,-0.13442858933907917,-2.552507368906044,2.556044779332191,2380.567893939722,4512.069319528451,2.923869830705616,0.8811457053947916,0.8811457053947916,0.0,0,vertical_speed,baseline,truth,ideal
126,1.0233229914151514,0.9607060234280949,1.1111958179186912,0.9555519765726743,-13.619136973874461,0.37186575291319457,-1.3535671231149364,-55.48859458916138,1.8360211240002802,True,22.879999999999864,0.0,-1.065925117600471,0.0,-1.065925117600471,0.009347066262910358,-2.320462374113293,2.3204811995194494,2342.034113540143,4382.908050456521,1.997720678111793,1.1460109571923518,1.1460109571923518,0.0,0,success,baseline,truth,ideal
127,0.980920065324949,0.9965202033566414,0.9824624423855879,0.9471916805429629,14.020456632225837,21.094779505493168,-1.5904480291581846,-58.35798477073082,1.1581049601376616,False,23.279999999999855,0.0,3.9662928795631918,0.0,3.9662928795631918,-0.26001169719072764,-2.316829255532131,2.3313738185811324,2423.542531939318,4552.0988915571725,1.1581049601376616,0.5587438343639294,0.5587438343639294,0.0,0,pad_miss,baseline,truth,ideal
128,1.0050902902760028,0.9458065028101597,1.170517065675341,0.8953566820725155,7.120780974797864,17.284002165479702,-4.872157724213064,-56.45387701197956,0.740007786079622,False,22.879999999999864,0.0,1.4963893103086259,0.0,1.4963893103086259,-0.38063612441524,-2.54418430833286,2.5725002728818143,2340.357842671645,4280.287676999473,4.480196700316373,4.004770740163548,4.004770740163548,0.0,0,vertical_speed,baseline,truth,ideal
129,0.9934842425526793,0.9877679962502359,1.098711108910744,1.146389834685508,14.052932705203855,19.56666867626745,-3.8200518958584713,-62.102660724922956,1.3796368337614633,False,23.11999999999986,0.0,3.058573792770299,0.0,3.058573792770299,-0.3162782499286143,-2.2787452009410862,2.300589407562753,2430.015296427886,4484.360677323766,2.7655618140843585,0.6959424863629028,0.6959424863629028,0.0,0,pad_miss,baseline,truth,ideal
130,1.0046859408551252,1.0048014199774709,0.865465657951257,0.8813307287109426,-8.392969373297301,39.845669585837584,-2.1032458050323903,-55.17516420211523,2.2108298943545006,False,23.11999999999986,0.0,6.0752807850539225,0.0,6.0752807850539225,-0.39216447295470697,-2.2631443285682518,2.296870746424031,2394.7756048107694,4638.834335031526,2.2108298943545006,2.5303553068543057,2.5303553068543057,0.0,0,pad_miss,baseline,truth,ideal
131,1.0279036152538514,0.978306268416028,0.9083334512955437,0.9218569844211822,11.840009644733414,14.54710576889885,-3.6848473714081464,-56.789862363605444,0.9233877528719142,False,22.799999999999866,0.0,1.7912035053310913,0.0,1.7912035053310913,-0.31596667270529466,-2.5883281377097864,2.607542422803638,2360.5175357457665,4487.62634316643,3.169599339756933,2.703389368909081,2.703389368909081,0.0,0,vertical_speed,baseline,truth,ideal
132,1.021160725179881,1.022428929774623,1.1440486306426245,1.088619232059433,-9.956075054320443,16.547426130359828,-3.0701091683414305,-56.64745740650297,0.6765088589780207,True,22.959999999999862,0.0,0.9943452627447917,0.0,0.9943452627447917,-0.2292624518129736,-2.471122070374036,2.481734385163118,2395.8076884834118,4761.194819938948,2.5945064544753964,1.9882460086001466,1.9882460086001466,0.0,0,success,baseline,truth,ideal
133,1.0029975198349417,0.9810114108930789,1.0058067870440066,1.0004233244685121,-10.917779146631545,25.632909323791008,-1.1974622049505803,-57.70321693746862,0.3167678678934883,False,22.959999999999862,0.0,3.3645618364306387,0.0,3.3645618364306387,-0.25952859672697587,-2.5725959899308224,2.585653731636783,2379.3908310075167,4487.689045244035,0.9048537575104216,0.8299035600453009,0.8299035600453009,0.0,0,vertical_speed,baseline,truth,ideal
134,1.0110107284097078,1.0285875170536252,0.8976931528159016,0.9063194118029757,5.1234721923191096,10.620459106126347,1.4773023334271125,-55.16282555081549,1.3890950858811901,False,23.11999999999986,0.0,3.0332608664967347,0.0,3.0332608664967347,-0.026770876565884,-2.2672791508851273,2.2674371938094535,2410.3883288207035,4789.724290554674,3.0501855037591126,4.71531479393918,4.71531479393918,0.0,0,pad_miss,baseline,truth,ideal
135,0.9870104275197582,1.0242327367099333,1.1207033985024146,0.9638110916682896,13.022650114541023,19.466231639186248,-2.013042341154497,-58.69541249407068,1.0787377283910806,False,23.199999999999857,0.0,3.4993983053451516,0.0,3.4993983053451516,-0.2531578259879181,-2.5602159247154836,2.572701783344834,2434.337114436119,4735.292042533412,1.0787377283910806,0.03915398163972608,0.03915398163972608,0.0,0,vertical_speed,baseline,truth,ideal
136,0.9902470678172064,1.0392873819800221,1.0302701751653145,0.9356257155775725,-11.010060307451827,22.66258256556748,-2.5624447001542348,-54.65508261049363,0.4221197746653677,True,23.359999999999854,0.0,2.1983223731801727,0.0,2.1983223731801727,-0.26404024383330416,-2.378029856389104,2.3926435689925762,2428.5188656970495,4846.492808163104,1.6177989203075867,1.7218311285818044,1.7218311285818044,0.0,0,success,baseline,truth,ideal
137,1.014580831675197,0.9807658417182074,0.9172656991327205,0.971584991348778,7.2852862492089585,8.412263239021396,-4.229236587298924,-58.14434848149044,0.9873301893074841,False,22.879999999999864,0.0,0.2668202651363182,0.0,0.2668202651363182,-0.25718027334721716,-2.5378438356456674,2.55084163113347,2380.2257469370015,4485.135145090451,4.343667247083921,2.9450572740639167,2.9450572740639167,0.0,0,vertical_speed,baseline,truth,ideal
138,0.998786118267642,0.9523677661244888,1.1750731805823234,1.0524864524765236,10.510450816244582,26.836924972610582,-1.7348024530303854,-61.03992854729741,0.11203036597475269,False,22.879999999999864,0.0,4.7122478672807215,0.0,4.7122478672807215,-0.3590495216254564,-2.622546576657686,2.6470109757457405,2375.7576088066853,4290.816754064737,0.2867801702402305,0.18340392204276731,0.18340392204276731,0.0,0,vertical_speed,baseline,truth,ideal
139,1.025822073331418,0.9935033054212705,1.1061864845398537,1.078692928594592,-0.20496493873003274,20.664395450219796,-1.9595032792372455,-54.30488080079992,1.0812252193981269,False,22.799999999999866,0.0,2.9403137043705745,0.0,2.9403137043705745,-0.2556317129593287,-2.724236443279686,2.736203898024355,2343.438574650412,4611.084563298482,1.0812252193981269,0.5377121503853065,0.5377121503853065,0.0,0,vertical_speed,baseline,truth,ideal
140,0.9723838880378589,1.031769999075615,1.1683031675590922,1.0900711074332707,-12.376032052801932,9.315027892883606,-1.9348882219890027,-56.99744050456316,0.04105800898848548,True,23.51999999999985,0.0,-0.17136999473304004,0.0,-0.17136999473304004,-0.0827666200684517,-2.3199604196291275,2.3214363359875523,2450.5166683033385,4771.873325225966,1.9342959981359384,1.4629071386554677,1.4629071386554677,0.0,0,success,baseline,truth,ideal
141,1.0168914827462656,0.9806293562529037,0.9075840365233081,0.9103952571046356,9.499735792144097,16.377633831715283,-3.385702517811369,-55.7530871872944,0.6326140768432611,True,22.959999999999862,0.0,1.9345354424308876,0.0,1.9345354424308876,-0.3060581635817501,-2.355317638121615,2.3751195287694085,2368.6117358279007,4495.793757942425,2.783901052771307,3.0142679470799236,3.0142679470799236,0.0,0,success,baseline,truth,ideal
142,0.9993425368921343,0.9587841658228801,1.0324102948953557,0.8581302528126673,5.527170486233818,22.467628814665602,-1.3396502912788042,-59.04124964374036,1.8461238082242133,False,23.03999999999986,0.0,3.9308864650487783,0.0,3.9308864650487783,-0.23555690671983467,-2.3001568893392923,2.3121870105764426,2386.150250471099,4325.3389102890615,1.8461238082242135,1.2404231744320848,1.2404231744320848,0.0,0,pad_miss,baseline,truth,ideal
143,1.0077184017495429,0.9402619018770164,0.8685634319657441,0.9901797807192934,5.701428030056455,5.2276595191775,-3.2069657572969508,-61.637788921578874,0.6719879179776188,True,22.879999999999864,0.0,-0.030596596275124715,0.0,-0.030596596275124715,-0.19419963880058833,-2.414852293442294,2.4226483646732113,2381.9593697520577,4199.873943387058,3.2780670901762616,1.410340789407174,1.410340789407174,0.0,0,success,baseline,truth,ideal
144,0.9820807839498661,0.9664992527086168,0.9154754553602287,1.0021933195152641,-0.7421520947674836,3.8929214280199744,-2.0886030163034124,-58.844891222550125,0.05961911316157617,True,23.199999999999857,0.0,-0.34240297329662356,0.0,-0.34240297329662356,-0.0837681138207237,-2.357032711059826,2.3585207859798722,2402.10768108282,4363.387087877498,2.310578752042886,1.544230947121695,1.544230947121695,0.0,0,success,baseline,truth,ideal
145,0.9881342014985404,0.9563674264400304,1.0296439077263015,0.8803578338079603,-6.901980758021061,26.38611885398682,-2.712491628028453,-55.22233369799278,1.0994939169813922,False,23.11999999999986,0.0,3.2353831819554046,0.0,3.2353831819554046,-0.3102706997681659,-2.4169816109544215,2.436815137597938,2358.9044517678158,4335.667533312397,1.3734716613795026,0.8405589649932861,0.8405589649932861,0.0,0,pad_miss,baseline,truth,ideal
146,1.0008358211735418,1.0279895134539045,1.0436247098039264,1.0048417800710086,10.813620709628495,23.166641091777073,-3.4057912847259177,-56.09062458290959,0.9346721315353858,False,23.199999999999857,0.0,3.229490496725478,0.0,3.229490496725478,-0.3327332980574595,-2.256902779845863,2.2812982280517775,2419.1652714492448,4776.761322728089,2.278567429610467,1.9467886156285077,1.9467886156285077,0.0,0,pad_miss,baseline,truth,ideal
147,1.0014131179594992,1.0183485423153642,1.170567318194599,0.9504581200269985,16.660841014641445,3.666274054258695,-3.225508092097661,-60.42824317194184,1.0391316976404599,True,23.11999999999986,0.0,0.5704834431027728,0.0,0.5704834431027728,-0.13408069181646098,-2.3812857324206114,2.3850575195051267,2439.1186387244416,4689.3211574831075,3.3370036092109294,1.5446833393908865,1.5446833393908865,0.0,0,success,baseline,truth,ideal
148,1.0035369705707762,0.9894935638734907,1.0903223966568079,1.0162402598263427,-2.4678735947148986,15.639625074445819,-1.4879607727046529,-59.818881571709944,1.2495004215351453,False,22.959999999999862,0.0,2.2000117739437055,0.0,2.2000117739437055,-0.16693638159237384,-2.617507267008629,2.622825203543335,2400.824114854564,4525.630832259871,1.249500421535145,0.40233049795265147,0.40233049795265147,0.0,0,vertical_speed,baseline,truth,ideal
